Year|Paper ID|Paper Class|Evaluation Method
2017|Bang2017|Evaluation Research|Questionnaire,Controlled Experiment,Technical Experiment
2017|Bhat2017|Proposal of Solution|Case Study
2017|Butting2017|Evaluation Research|Technical Experiment,Verification
2017|Calinescu2017|Validation Research|Technical Experiment
2017|Camara2017|Proposal of Solution,Validation Research|Technical Experiment
2017|Czepa2017|Evaluation Research|Controlled Experiment
2017|Digkas2017|Evaluation Research|Data Science
2017|Filho2017|Proposal of Solution,Validation Research|Case Study
2017|Gesvindr2017|Proposal of Solution|Case Study
2017|Giaimo2017a|Proposal of Solution|Motivating Example
2017|Gorton2017|Validation Research|Technical Experiment,Benchmark
2017|Hammad2017|Evaluation Research|Technical Experiment
2017|Haselboeck2017|Evaluation Research|Field Experiment
2017|Hassan2017|Proposal of Solution|Motivating Example
2017|Klock2017|Evaluation Research|Case Study
2017|Kugele2017|Proposal of Solution,Validation Research|Grounded Theory
2017|Maartensson2017|Evaluation Research|Interview
2017|Muccini2017|Proposal of Solution|Motivating Example
2017|Nguyen2017|Proposal of Solution|Motivating Example
2017|Paterson2017|Evaluation Research|Case Study
2017|Rostami2017|Evaluation Research|Technical Experiment
2017|Roy2017|Validation Research,Evaluation Research,Proposal of Solution,Personal Experience Papers|Technical Experiment,Motivating Example,Argumentation
2017|Santos2017|Evaluation Research|Case Study
2017|Sharaf2017|Proposal of Solution,Validation Research|Case Study
2017|Xu2017|Proposal of Solution|Argumentation
2017|Yang2017|Evaluation Research|Questionnaire,Interview,Focus Group
2017|Zalewski2017|Evaluation Research|Focus Group
2017|Zheng2017|Evaluation Research|Technical Experiment
2018|Alkhabbas2018|Proposal of Solution,Validation Research|Technical Experiment
2018|Alshuqayran2018|Validation Research|Technical Experiment
2018|Antonino2018|Evaluation Research|Motivating Example
2018|Apel2018|Proposal of Solution,Validation Research|Technical Experiment
2018|Arcaini2018|Validation Research|Motivating Example
2018|Arcelli2018|Evaluation Research|Technical Experiment
2018|Artac2018|Proposal of Solution,Evaluation Research|Case Study,Technical Experiment
2018|Avritzer2018|Proposal of Solution|Case Study
2018|Bhat2018|Proposal of Solution,Validation Research|Data Science
2018|Buchgeher2018|Proposal of Solution,Validation Research|Case Study
2018|Chang2018|Validation Research|Technical Experiment
2018|Cortellessa2018|Evaluation Research|Motivating Example
2018|Eismann2018|Proposal of Solution|Technical Experiment
2018|Francesco2018|Evaluation Research|Questionnaire,Interview
2018|Garcia2018|Evaluation Research|Interview,Field Experiment
2018|Gupta2018|Validation Research|Case Study
2018|Heijenk2018|Evaluation Research|Interview
2018|Koziolek2018|Evaluation Research|Technical Experiment
2018|Kramer2018|Validation Research,Proposal of Solution|Case Study
2018|Kugele2018|Validation Research,Proposal of Solution,Personal Experience Papers|Technical Experiment,Motivating Example
2018|Le2018|Evaluation Research|Data Science
2018|Liu2018|Proposal of Solution,Validation Research|Case Study
2018|Martini2018|Evaluation Research|Case Study,Questionnaire
2018|Oquendo2018|Proposal of Solution,Validation Research|Case Study
2018|Power2018|Evaluation Research|Focus Group
2018|Schneider2018|Evaluation Research|Case Study
2018|Shahbazian2018|Evaluation Research|Technical Experiment
2018|Soliman2018|Evaluation Research|Controlled Experiment,Technical Experiment
2018|Spray2018|Proposal of Solution|Case Study
2018|Szvetits2018|Philosophical Papers|Data Science
2018|Tenbergen2018|Evaluation Research|Case Study
2018|Tuma2018|Validation Research|Controlled Experiment
