Year|Paper ID|Threats To Validity|Evaluation Method
2017|Bang2017|External Validity,Construct Validity,Internal Validity|Questionnaire,Controlled Experiment,Technical Experiment
2017|Bhat2017|Confirmability,External Validity|Case Study
2017|Butting2017|External Validity|Technical Experiment,Verification
2017|Calinescu2017|External Validity,Internal Validity,Construct Validity|Technical Experiment
2017|Camara2017|None|Technical Experiment
2017|Czepa2017|Internal Validity,External Validity,Construct Validity,Confirmability|Controlled Experiment
2017|Digkas2017|Construct Validity,External Validity,Repeatability|Data Science
2017|Filho2017|None|Case Study
2017|Gesvindr2017|None|Case Study
2017|Giaimo2017a|External Validity|Motivating Example
2017|Gorton2017|External Validity,Confirmability|Technical Experiment,Benchmark
2017|Hammad2017|None|Technical Experiment
2017|Haselboeck2017|Confirmability,Internal Validity,External Validity|Field Experiment
2017|Hassan2017|None|Motivating Example
2017|Klock2017|None|Case Study
2017|Kugele2017|External Validity,Internal Validity|Grounded Theory
2017|Maartensson2017|Construct Validity,Internal Validity,External Validity|Interview
2017|Muccini2017|None|Motivating Example
2017|Nguyen2017|None|Motivating Example
2017|Paterson2017|External Validity,Internal Validity,Construct Validity|Case Study
2017|Rostami2017|Internal Validity,Construct Validity|Technical Experiment
2017|Roy2017|None|Technical Experiment,Motivating Example,Argumentation
2017|Santos2017|External Validity,Internal Validity,Construct Validity|Case Study
2017|Sharaf2017|None|Case Study
2017|Xu2017|None|Argumentation
2017|Yang2017|Confirmability,Construct Validity|Questionnaire,Interview,Focus Group
2017|Zalewski2017|External Validity,Internal Validity|Focus Group
2017|Zheng2017|External Validity|Technical Experiment
2018|Alkhabbas2018|External Validity|Technical Experiment
2018|Alshuqayran2018|External Validity,Internal Validity|Technical Experiment
2018|Antonino2018|None|Motivating Example
2018|Apel2018|External Validity|Technical Experiment
2018|Arcaini2018|None|Motivating Example
2018|Arcelli2018|External Validity,Internal Validity|Technical Experiment
2018|Artac2018|None|Case Study,Technical Experiment
2018|Avritzer2018|Confirmability|Case Study
2018|Bhat2018|None|Data Science
2018|Buchgeher2018|External Validity,Internal Validity|Case Study
2018|Chang2018|None|Technical Experiment
2018|Cortellessa2018|None|Motivating Example
2018|Eismann2018|Internal Validity|Technical Experiment
2018|Francesco2018|External Validity,Confirmability,Construct Validity,Internal Validity|Questionnaire,Interview
2018|Garcia2018|External Validity,Internal Validity|Interview,Field Experiment
2018|Gupta2018|Construct Validity,External Validity|Case Study
2018|Heijenk2018|Construct Validity,External Validity,Internal Validity,Repeatability|Interview
2018|Koziolek2018|None|Technical Experiment
2018|Kramer2018|External Validity,Construct Validity|Case Study
2018|Kugele2018|External Validity|Technical Experiment,Motivating Example
2018|Le2018|External Validity,Internal Validity,Construct Validity|Data Science
2018|Liu2018|None|Case Study
2018|Martini2018|Construct Validity,Internal Validity,External Validity,Repeatability|Case Study,Questionnaire
2018|Oquendo2018|None|Case Study
2018|Power2018|External Validity,Construct Validity,Repeatability,Internal Validity|Focus Group
2018|Schneider2018|None|Case Study
2018|Shahbazian2018|External Validity,Construct Validity|Technical Experiment
2018|Soliman2018|External Validity,Internal Validity|Controlled Experiment,Technical Experiment
2018|Spray2018|None|Case Study
2018|Szvetits2018|Repeatability|Data Science
2018|Tenbergen2018|None|Case Study
2018|Tuma2018|External Validity,Internal Validity|Controlled Experiment
2018|Weyns2018|None|Case Study
2018|Yasaweerasinghelage2018|External Validity,Internal Validity|Case Study
2019|Alam2019|None|Case Study
2019|Arcelli2019|None|Case Study
2019|Castellanos2019|Construct Validity,Internal Validity,External Validity,Repeatability|Questionnaire
2019|Dajsuren2019|External Validity,Internal Validity|Motivating Example
2019|Eismann2019|Internal Validity,External Validity|Technical Experiment
2019|Gerking2019|External Validity,Internal Validity,Construct Validity,Repeatability|Technical Experiment
2019|Gonzalez2019|External Validity,Internal Validity,Construct Validity|Data Science
2019|Jahic2019a|None|Technical Experiment
2019|Jahic2019|None|Technical Experiment
2019|Maartensson2019|External Validity,Internal Validity|Focus Group
2019|Malakuti2019|None|Case Study
2019|Malki2019|External Validity,Confirmability|Grounded Theory
2019|Mattos2019|External Validity,Internal Validity|Field Experiment
2019|Mayrhofer2019|None|Motivating Example,Argumentation
2019|Musil2019|External Validity,Internal Validity|Case Study
2019|Ntentos2019|Internal Validity,Confirmability,External Validity|Grounded Theory
2019|Nunes2019|None|Case Study
2019|Pigazzini2019a|Internal Validity|Case Study,Case Study
2019|Power2019|External Validity,Internal Validity,Construct Validity,Repeatability,Confirmability|Questionnaire,Focus Group
2019|Rademacher2019|Internal Validity|Case Study
2019|Sanctis2019|External Validity,Internal Validity|Case Study
2019|Seifermann2019|External Validity,Internal Validity,Construct Validity,Repeatability|Technical Experiment
2019|Sion2019|None|Motivating Example
2019|Soezer2019|Confirmability|Benchmark
2019|Telschig2019|None|Case Study
2019|Tian2019|External Validity,Construct Validity,Repeatability|Grounded Theory
2019|Tuma2019|External Validity,Confirmability|Case Study
2019|Ullah2019|None|Technical Experiment
2019|Verdecchia2019|External Validity,Internal Validity,Construct Validity,Repeatability|None
2019|Waegemann2019|None|Case Study
2019|Weber2019|None|Argumentation,Technical Experiment
2019|Wohlrab2019a|External Validity,Internal Validity,Construct Validity,Confirmability|Interview
2019|Wohlrab2019|Internal Validity,Construct Validity,External Validity,Confirmability|Questionnaire
2019|Yasaweerasinghelage2019|None|Case Study
2019|Zhang2019|External Validity,Internal Validity,Construct Validity|Interview
2020|Alkhabbas2020|None|Technical Experiment
2020|Almeida2020|External Validity,Internal Validity|Case Study
2020|Baresi2020|None|Technical Experiment
2020|Brito2020|External Validity,Internal Validity,Construct Validity|Controlled Experiment
2020|Bucaioni2020|External Validity,Internal Validity,Construct Validity,Repeatability|Focus Group,Focus Group
2020|Camara2020|Construct Validity,External Validity|Technical Experiment
2020|Caporuscio2020a|External Validity,Internal Validity|Technical Experiment
2020|Caporuscio2020b|None|Case Study
2020|Cardoso2020|None|Benchmark
2020|Chondamrongkul2020|None|Benchmark
2020|Dias2020|None|Technical Experiment
2020|Giaimo2020|External Validity|Technical Experiment,Argumentation
2020|Islam2020|None|Case Study
2020|Jasser2020|External Validity,Internal Validity,Confirmability,Repeatability|Case Study
2020|Koziolek2020|None|Technical Experiment
2020|Kugele2020|External Validity|Argumentation,Technical Experiment
2020|Matias2020|Confirmability,Repeatability,Internal Validity|Case Study,Questionnaire
2020|Mazkatli2020|None|Case Study
2020|Mendonca2020|Confirmability,Construct Validity,External Validity|Technical Experiment,Technical Experiment
2020|Mizutani2020|External Validity|Controlled Experiment,Argumentation
2020|Moghaddam2020|None|Case Study
2020|Ntentos2020|External Validity,Internal Validity|Grounded Theory
2020|Sanctis2020|External Validity,Internal Validity|Technical Experiment
2020|Santos2020|External Validity|Technical Experiment
2020|Selmadji2020|Internal Validity,External Validity|Technical Experiment
2020|Tran2020|External Validity,Internal Validity|Case Study
2020|Verdecchia2020|None|Grounded Theory
2020|Wang2020|Internal Validity,Construct Validity|Controlled Experiment,Technical Experiment
2020|Werle2020|None|Case Study,Case Study
2020|Zhang2020|None|Case Study
2020|Zhao2020|Construct Validity,Internal Validity,Repeatability|Case Study,Case Study
2021|Bonfanti2021|None|Motivating Example
2021|Bucaioni2021|None|Interview
2021|Cadavid2021|Construct Validity,Repeatability,External Validity|Interview,Focus Group
2021|Camara2021|None|Case Study
2021|Caporuscio2021|Construct Validity,External Validity|Technical Experiment
2021|Garcia2021|None|Case Study
2021|Genfer2021|Construct Validity,Internal Validity,External Validity|Case Study
2021|Keim2021|External Validity,Internal Validity,Construct Validity,Repeatability,Confirmability|Case Study
2021|Knoche2021|Confirmability,External Validity|Questionnaire,Technical Experiment
2021|Koziolek2021|Construct Validity|Technical Experiment
2021|Le2021|External Validity,Construct Validity,Internal Validity,Confirmability|Data Science
2021|Lo2021|None|Data Science
2021|Monschein2021|Internal Validity,External Validity,Construct Validity,Confirmability|Technical Experiment
2021|Ntentos2021|External Validity,Internal Validity|Technical Experiment
2021|Olsson2021|External Validity,Internal Validity|Technical Experiment
2021|Pinciroli2021|External Validity,Internal Validity,Construct Validity|Motivating Example,Motivating Example
2021|Raatikainen2021|Construct Validity,External Validity,Confirmability|Interview
2021|Shabelnyk2021|Internal Validity|Case Study
2021|Shokri2021|External Validity,Internal Validity|Technical Experiment,Technical Experiment
2021|Sinkala2021|None|Case Study
2021|Sodhi2021|External Validity,Internal Validity,Repeatability|None
2021|Soliman2021a|External Validity,Construct Validity,Repeatability|Technical Experiment
2021|Soliman2021|Construct Validity,External Validity,Repeatability|Case Study
2021|Woods2021|External Validity,Internal Validity,Construct Validity,Confirmability|Questionnaire
2021|Xu2021|Confirmability,Repeatability|Interview
