Year|Key (DOI)|Research Object|Evaluation Method|Property
2017|Bhat2017 (<https://doi.org/10.1007/978-3-319-65831-5\_10>)|Architecture Analysis Method|Case Study|Accuracy
2017|Haselboeck2017 (<https://doi.org/10.1007/978-3-319-65831-5\_11>)|Architecture Decision Making|Field Experiment|Satisfaction,Context coverage,Effectiveness
2017|Yang2017 (<https://doi.org/10.1007/978-3-319-65831-5\_14>)|Architectural Assumptions|Questionnaire,Interview,Focus Group|Satisfaction
2017|Camara2017 (<https://doi.org/10.1007/978-3-319-65831-5\_1>)|Architecture Design Method|Technical Experiment|Performance efficiency,Functional Suitability
2017|Nguyen2017 (<https://doi.org/10.1007/978-3-319-65831-5\_2>)|Architecture Analysis Method|Motivating Example|Functional Suitability
2017|Digkas2017 (<https://doi.org/10.1007/978-3-319-65831-5\_4>)|Technical Debt|Data Science|Maintainability
2017|Filho2017 (<https://doi.org/10.1007/978-3-319-65831-5\_5>)|Architecture Analysis Method|Case Study|Satisfaction,Functional Suitability
2017|Sharaf2017 (<https://doi.org/10.1007/978-3-319-65831-5\_7>)|Architecture Design Method|Case Study|Functional Suitability
2017|Zalewski2017 (<https://doi.org/10.1007/978-3-319-65831-5\_9>)|Architecture Decision Making|Focus Group|Effectiveness
2017|Czepa2017 (<https://doi.org/10.1109/ICSA.2017.10>)|Architecture Description Language|Controlled Experiment|Usability
2017|Maartensson2017 (<https://doi.org/10.1109/ICSA.2017.11>)|Architectural Aspects|Interview|Usability
2017|Zheng2017 (<https://doi.org/10.1109/ICSA.2017.13>)|Architecture Design Method|Technical Experiment|Usability,Functional Suitability,Performance efficiency
2017|Paterson2017 (<https://doi.org/10.1109/ICSA.2017.14>)|Architecture Analysis Method|Case Study|Accuracy
2017|Calinescu2017 (<https://doi.org/10.1109/ICSA.2017.16>)|Architecture Design Method|Technical Experiment|Performance efficiency,Robustness
2017|Rostami2017 (<https://doi.org/10.1109/ICSA.2017.17>)|Architecture Analysis Method|Technical Experiment|Effectiveness,Satisfaction
2017|Hammad2017 (<https://doi.org/10.1109/ICSA.2017.18>)|Architecture Extraction|Technical Experiment|Performance efficiency,Functional Suitability
2017|Kugele2017 (<https://doi.org/10.1109/ICSA.2017.20>)|Architecture Pattern|Grounded Theory|Satisfaction,Context coverage
2017|Muccini2017 (<https://doi.org/10.1109/ICSA.2017.21>)|Architecture Description Language|Motivating Example|None
2017|Gorton2017 (<https://doi.org/10.1109/ICSA.2017.27>)|Architecture Decision Making|Benchmark|Performance efficiency
| | | |Technical Experiment|Accuracy
2017|Hassan2017 (<https://doi.org/10.1109/ICSA.2017.32>)|Architecture Design Method|Motivating Example|Portability,Functional Suitability
2017|Xu2017 (<https://doi.org/10.1109/ICSA.2017.33>)|Architecture Decision Making|Argumentation|Functional Suitability
2017|Butting2017 (<https://doi.org/10.1109/ICSA.2017.34>)|Architecture Description Language,Architecture Analysis Method|Technical Experiment|Functional Suitability,Performance efficiency
| | | |Verification|Functional Suitability
