Year|Paper ID|Tool Support|Input Data|Replication Package|Artifacts
2017|Bang2017|available|available|None|available
2017|Bhat2017|used|available|None|available
2017|Butting2017|used|used|None|used
2017|Calinescu2017|used|used|None|used
2017|Camara2017|used|used|None|used
2017|Czepa2017|None|None|None|none
2017|Digkas2017|available|available|Yes|packaged
2017|Filho2017|available|available|Yes|packaged
2017|Gesvindr2017|used|used|None|used
2017|Giaimo2017a|available|None|None|available
2017|Gorton2017|used|available|None|available
2017|Hammad2017|available|available|None|available
2017|Haselboeck2017|None|used|None|used
2017|Hassan2017|None|None|None|none
2017|Klock2017|available|used|None|available
2017|Kugele2017|None|used|None|used
2017|Maartensson2017|None|None|None|none
2017|Muccini2017|used|None|None|used
2017|Nguyen2017|available|used|None|available
2017|Paterson2017|available|available|Yes|packaged
2017|Rostami2017|available|available|None|available
2017|Roy2017|used|used|None|used
2017|Santos2017|None|available|None|available
2017|Sharaf2017|used|None|None|used
2017|Xu2017|None|None|None|none
2017|Yang2017|None|None|None|none
2017|Zalewski2017|None|None|None|none
2017|Zheng2017|used|used|None|used
2018|Alkhabbas2018|available|used|None|available
2018|Alshuqayran2018|available|used|None|available
2018|Antonino2018|None|None|None|none
2018|Apel2018|used|used|None|used
2018|Arcaini2018|None|None|None|none
2018|Arcelli2018|None|None|None|none
2018|Artac2018|available|available|None|available
2018|Avritzer2018|None|available|Yes|packaged
2018|Bhat2018|available|available|None|available
2018|Buchgeher2018|used|used|None|used
2018|Chang2018|None|None|None|none
2018|Cortellessa2018|used|used|None|used
2018|Eismann2018|None|None|None|none
2018|Francesco2018|used|used|None|used
2018|Garcia2018|available|available|None|available
2018|Gupta2018|used|None|None|used
2018|Heijenk2018|None|None|None|none
2018|Koziolek2018|used|used|None|used
2018|Kramer2018|used|used|None|used
2018|Kugele2018|used|used|None|used
2018|Le2018|available|used|None|available
2018|Liu2018|used|available|None|available
2018|Martini2018|used|used|None|used
2018|Oquendo2018|used|None|None|used
2018|Power2018|None|None|None|none
2018|Schneider2018|None|None|None|none
2018|Shahbazian2018|used|used|None|used
2018|Soliman2018|available|available|Yes|packaged
2018|Spray2018|None|used|None|used
2018|Szvetits2018|None|used|None|used
2018|Tenbergen2018|None|used|None|used
2018|Tuma2018|None|None|None|none
2018|Weyns2018|used|used|None|used
2018|Yasaweerasinghelage2018|used|available|None|available
2019|Alam2019|available|used|None|available
2019|Arcelli2019|available|None|None|available
2019|Castellanos2019|used|used|None|used
2019|Dajsuren2019|None|used|None|used
2019|Eismann2019|used|used|None|used
2019|Gerking2019|available|available|None|available
2019|Gonzalez2019|used|used|None|used
2019|Jahic2019a|None|used|None|used
2019|Jahic2019|None|None|None|none
2019|Maartensson2019|used|available|None|available
2019|Malakuti2019|None|None|None|none
2019|Malki2019|available|available|None|available
2019|Mattos2019|used|used|None|used
2019|Mayrhofer2019|None|None|None|none
2019|Musil2019|None|available|Yes|packaged
2019|Ntentos2019|None|available|None|available
2019|Nunes2019|available|available|Yes|packaged
2019|Pigazzini2019a|available|available|None|available
2019|Power2019|None|used|None|used
2019|Rademacher2019|available|used|None|available
2019|Sanctis2019|None|None|None|none
2019|Seifermann2019|available|available|None|available
2019|Sion2019|used|used|None|used
2019|Soezer2019|available|available|None|available
2019|Telschig2019|used|None|None|used
2019|Tian2019|available|available|None|available
2019|Tuma2019|available|used|None|available
2019|Ullah2019|used|available|None|available
2019|Verdecchia2019|None|None|Yes|packaged
2019|Waegemann2019|used|used|None|used
2019|Weber2019|available|used|None|available
2019|Wohlrab2019a|None|None|None|none
2019|Wohlrab2019|None|available|None|available
2019|Yasaweerasinghelage2019|used|used|None|used
2019|Zhang2019|used|used|None|used
2020|Alkhabbas2020|used|None|None|used
2020|Almeida2020|None|available|None|available
2020|Baresi2020|available|available|None|available
2020|Brito2020|used|used|None|used
2020|Bucaioni2020|available|used|None|available
2020|Camara2020|used|used|None|used
2020|Caporuscio2020a|available|available|Yes|packaged
2020|Caporuscio2020b|None|used|None|used
2020|Cardoso2020|used|used|None|used
2020|Chondamrongkul2020|available|available|Yes|packaged
2020|Dias2020|used|used|None|used
2020|Giaimo2020|used|used|None|used
2020|Islam2020|available|available|Yes|packaged
2020|Jasser2020|used|used|None|used
2020|Koziolek2020|available|available|None|available
2020|Kugele2020|used|used|None|used
2020|Matias2020|available|None|None|available
2020|Mazkatli2020|used|used|None|used
2020|Mendonca2020|used|available|None|available
2020|Mizutani2020|available|None|None|available
2020|Moghaddam2020|used|used|None|used
2020|Ntentos2020|available|available|None|available
2020|Sanctis2020|used|used|None|used
2020|Santos2020|used|available|None|available
2020|Selmadji2020|used|available|None|available
2020|Tran2020|None|None|None|none
2020|Verdecchia2020|None|None|None|none
2020|Wang2020|available|available|Yes|packaged
2020|Werle2020|None|None|None|none
2020|Zhang2020|used|available|None|available
2020|Zhao2020|used|used|None|used
2021|Bonfanti2021|available|available|None|available
2021|Bucaioni2021|None|None|None|none
2021|Cadavid2021|available|used|None|available
2021|Camara2021|used|used|None|used
2021|Caporuscio2021|available|available|Yes|packaged
2021|Garcia2021|used|used|None|used
2021|Genfer2021|used|available|None|available
2021|Keim2021|available|available|Yes|packaged
2021|Knoche2021|used|used|None|used
2021|Koziolek2021|None|None|None|none
2021|Le2021|used|used|None|used
2021|Lo2021|None|None|None|none
2021|Monschein2021|available|used|None|available
2021|Ntentos2021|available|available|Yes|packaged
2021|Olsson2021|available|available|Yes|packaged
2021|Pinciroli2021|available|available|None|available
2021|Raatikainen2021|None|used|None|used
2021|Shabelnyk2021|None|None|None|none
2021|Shokri2021|available|available|None|available
2021|Sinkala2021|used|used|None|used
2021|Sodhi2021|None|None|None|none
2021|Soliman2021a|None|available|None|available
2021|Soliman2021|available|available|Yes|packaged
2021|Woods2021|None|used|None|used
2021|Xu2021|available|used|None|available
